"","self_employed","no_employees","remote_work","tech_company"
"61","No","More than 1000","No","No"
"62","No","26-100","Yes","Yes"
"63","No","100-500","No","Yes"
"64","No","26-100","No","Yes"
"65","No","6-25","No","Yes"
"66","No","More than 1000","Yes","Yes"
"67","No","1-5","Yes","Yes"
"68","No","100-500","Yes","Yes"
"69","No","26-100","Yes","No"
"70","Yes","1-5","Yes","Yes"
"71","No","26-100","No","Yes"
"72","No","6-25","No","Yes"
"73","No","More than 1000","No","Yes"
"74","No","26-100","No","Yes"
"75","No","More than 1000","No","Yes"
"76","No","1-5","No","Yes"
"77","No","More than 1000","Yes","Yes"
"78","Yes","1-5","Yes","Yes"
"79","No","26-100","Yes","Yes"
"80","No","6-25","Yes","Yes"
"81","No","100-500","Yes","Yes"
"82","No","26-100","No","Yes"
"83","No","26-100","No","No"
"84","Yes","1-5","Yes","Yes"
"85","No","More than 1000","No","Yes"
"86","No","26-100","No","Yes"
"87","Yes","6-25","No","Yes"
"88","No","500-1000","Yes","Yes"
"89","No","26-100","No","Yes"
"90","No","500-1000","No","Yes"
"91","No","500-1000","No","Yes"
"92","No","26-100","No","Yes"
"93","No","26-100","No","Yes"
"94","No","26-100","Yes","Yes"
"95","No","26-100","No","Yes"
"96","No","26-100","No","Yes"
"97","No","26-100","No","Yes"
"98","No","6-25","No","Yes"
"99","No","6-25","No","Yes"
"100","No","1-5","No","Yes"
"101","No","26-100","No","No"
"102","No","100-500","No","Yes"
"103","No","26-100","No","Yes"
"104","No","26-100","Yes","Yes"
"105","No","More than 1000","No","Yes"
"106","No","6-25","No","Yes"
"107","No","26-100","Yes","Yes"
"108","No","6-25","No","Yes"
"109","No","6-25","Yes","Yes"
"110","No","26-100","No","Yes"
"111","No","500-1000","No","Yes"
"112","No","26-100","No","Yes"
"113","No","6-25","Yes","Yes"
"114","No","100-500","No","Yes"
"115","No","More than 1000","No","Yes"
"116","No","6-25","No","Yes"
"117","Yes","1-5","Yes","No"
"118","No","6-25","No","No"
"119","No","1-5","Yes","Yes"
"120","No","26-100","Yes","Yes"
"121","No","More than 1000","No","Yes"
"122","No","26-100","Yes","Yes"
"123","No","6-25","Yes","Yes"
"124","No","6-25","No","Yes"
"125","No","100-500","No","No"
"126","No","500-1000","No","Yes"
"127","No","6-25","No","Yes"
"128","No","100-500","No","Yes"
"129","No","6-25","No","Yes"
"130","No","6-25","No","Yes"
"131","No","More than 1000","No","Yes"
"132","No","1-5","Yes","Yes"
"133","No","26-100","No","Yes"
"134","No","26-100","Yes","Yes"
"135","No","26-100","No","Yes"
"136","No","26-100","No","No"
"137","No","6-25","No","Yes"
"138","No","More than 1000","No","Yes"
"139","No","6-25","No","Yes"
"140","No","6-25","Yes","Yes"
"141","No","100-500","No","Yes"
"142","Yes","More than 1000","No","No"
"143","No","26-100","Yes","No"
"144","No","More than 1000","Yes","Yes"
"145","No","100-500","No","No"
"146","No","6-25","No","Yes"
"147","No","6-25","No","No"
"148","No","100-500","No","Yes"
"149","No","100-500","Yes","Yes"
"150","Yes","1-5","Yes","Yes"
"151","No","26-100","No","Yes"
"152","No","6-25","Yes","Yes"
"153","No","6-25","No","Yes"
"154","No","More than 1000","No","No"
"155","No","26-100","No","No"
"156","No","More than 1000","No","Yes"
"157","No","26-100","No","No"
"158","No","26-100","Yes","Yes"
"159","No","26-100","No","Yes"
"160","No","More than 1000","No","No"
"161","No","500-1000","No","Yes"
"162","No","More than 1000","No","Yes"
"163","No","6-25","No","Yes"
"164","Yes","1-5","No","Yes"
"165","Yes","1-5","Yes","Yes"
"166","No","26-100","No","Yes"
"167","No","6-25","No","Yes"
"168","Yes","1-5","No","Yes"
"169","No","100-500","No","Yes"
"170","No","More than 1000","No","Yes"
"171","Yes","6-25","No","Yes"
"172","No","More than 1000","No","Yes"
"173","No","6-25","No","Yes"
"174","No","More than 1000","No","No"
"175","No","26-100","No","Yes"
"176","No","100-500","No","No"
"177","No","6-25","Yes","Yes"
"178","No","1-5","No","Yes"
"179","No","6-25","Yes","Yes"
"180","No","6-25","Yes","Yes"
"181","Yes","6-25","No","No"
"182","No","26-100","No","Yes"
"183","No","More than 1000","No","Yes"
"184","No","More than 1000","Yes","Yes"
"185","No","500-1000","Yes","Yes"
"186","No","6-25","No","Yes"
"187","No","6-25","Yes","Yes"
"188","No","1-5","Yes","Yes"
"189","No","More than 1000","No","Yes"
"190","Yes","1-5","Yes","Yes"
"191","No","26-100","No","Yes"
"192","No","26-100","No","Yes"
"193","No","6-25","No","Yes"
"194","No","100-500","No","Yes"
"195","Yes","6-25","No","Yes"
"196","No","500-1000","Yes","Yes"
"197","No","More than 1000","No","Yes"
"198","No","6-25","Yes","Yes"
"199","No","More than 1000","No","Yes"
"200","No","26-100","No","Yes"
"201","No","500-1000","No","No"
"202","No","6-25","Yes","Yes"
"203","No","1-5","No","Yes"
"204","No","100-500","Yes","Yes"
"205","No","100-500","Yes","Yes"
"206","No","6-25","Yes","Yes"
"207","No","26-100","No","Yes"
"208","No","26-100","No","Yes"
"209","No","100-500","No","Yes"
"210","No","26-100","No","Yes"
"211","No","26-100","No","No"
"212","Yes","1-5","Yes","Yes"
"213","No","6-25","No","Yes"
"214","No","100-500","No","No"
"215","Yes","1-5","Yes","Yes"
"216","Yes","6-25","Yes","Yes"
"217","Yes","6-25","No","Yes"
"218","No","500-1000","No","No"
"219","No","26-100","No","Yes"
"220","No","6-25","No","Yes"
"221","No","26-100","No","Yes"
"222","No","6-25","No","Yes"
"223","No","More than 1000","No","Yes"
"224","No","26-100","No","Yes"
"225","No","1-5","No","Yes"
"226","No","1-5","Yes","Yes"
"227","Yes","1-5","Yes","Yes"
"228","No","6-25","No","Yes"
"229","Yes","1-5","No","Yes"
"230","No","26-100","No","Yes"
"231","No","500-1000","Yes","Yes"
"232","No","More than 1000","No","No"
"233","No","26-100","Yes","Yes"
"234","No","26-100","No","Yes"
"235","No","26-100","No","Yes"
"236","No","26-100","No","Yes"
"237","No","6-25","No","Yes"
"238","No","More than 1000","No","No"
"239","No","6-25","No","No"
"240","No","6-25","No","Yes"
"241","No","1-5","No","Yes"
"242","No","26-100","No","Yes"
"243","No","6-25","No","Yes"
"244","No","More than 1000","Yes","Yes"
"245","No","More than 1000","Yes","Yes"
"246","No","6-25","No","No"
"247","No","6-25","No","No"
"248","No","1-5","Yes","Yes"
"249","No","500-1000","Yes","No"
"250","No","26-100","Yes","No"
"251","No","100-500","No","Yes"
"252","No","100-500","Yes","Yes"
"253","No","100-500","No","No"
"254","No","6-25","No","Yes"
"255","No","6-25","No","Yes"
"256","No","6-25","No","Yes"
"257","No","6-25","Yes","Yes"
"258","No","1-5","No","Yes"
"259","No","6-25","No","Yes"
"260","No","6-25","No","Yes"
"261","No","6-25","Yes","Yes"
"262","No","100-500","Yes","Yes"
"263","No","6-25","No","Yes"
"264","Yes","6-25","Yes","Yes"
"265","No","6-25","No","Yes"
"266","No","26-100","Yes","Yes"
"267","Yes","1-5","Yes","Yes"
"268","No","26-100","No","Yes"
"269","No","6-25","Yes","Yes"
"270","Yes","1-5","Yes","Yes"
"271","No","100-500","No","No"
"272","No","More than 1000","No","Yes"
"273","No","26-100","No","Yes"
"274","No","26-100","Yes","Yes"
"275","No","100-500","No","Yes"
"276","No","26-100","No","No"
"277","No","6-25","No","Yes"
"278","No","100-500","No","No"
"279","No","100-500","No","Yes"
"280","Yes","6-25","Yes","Yes"
"281","No","6-25","No","Yes"
"282","No","6-25","No","Yes"
"283","No","26-100","No","Yes"
"284","No","100-500","No","No"
"285","No","6-25","No","Yes"
"286","No","More than 1000","No","Yes"
"287","No","26-100","No","Yes"
"288","No","1-5","No","Yes"
"289","No","More than 1000","Yes","Yes"
"290","Yes","1-5","No","Yes"
"291","No","More than 1000","No","Yes"
"292","No","More than 1000","No","Yes"
"293","No","More than 1000","No","Yes"
"294","No","More than 1000","No","Yes"
"295","No","500-1000","No","Yes"
"296","No","26-100","No","Yes"
"297","No","More than 1000","No","Yes"
"298","No","More than 1000","No","Yes"
"299","No","More than 1000","No","Yes"
"300","No","More than 1000","No","Yes"
"301","No","More than 1000","No","Yes"
"302","No","100-500","No","Yes"
"303","No","100-500","Yes","No"
"304","No","More than 1000","No","Yes"
"305","No","6-25","No","Yes"
"306","No","26-100","No","Yes"
"307","No","26-100","No","Yes"
"308","No","26-100","Yes","Yes"
"309","No","100-500","No","Yes"
"310","No","6-25","Yes","No"
"311","No","100-500","No","Yes"
"312","Yes","1-5","No","Yes"
"313","No","More than 1000","No","Yes"
"314","No","More than 1000","No","Yes"
"315","No","6-25","No","No"
"316","No","100-500","No","No"
"317","No","More than 1000","No","No"
"318","No","More than 1000","No","Yes"
"319","No","26-100","No","Yes"
"320","No","100-500","Yes","Yes"
"321","No","More than 1000","No","Yes"
"322","No","500-1000","No","Yes"
"323","No","More than 1000","No","Yes"
"324","No","6-25","No","Yes"
"325","No","More than 1000","No","Yes"
"326","No","More than 1000","No","Yes"
"327","No","More than 1000","No","Yes"
"328","Yes","1-5","Yes","Yes"
"329","Yes","1-5","No","No"
"330","No","26-100","No","Yes"
"331","No","More than 1000","No","Yes"
"332","No","100-500","No","No"
"333","Yes","1-5","No","Yes"
"334","No","6-25","Yes","No"
"335","No","26-100","No","Yes"
"336","No","26-100","No","Yes"
"337","Yes","More than 1000","No","Yes"
"338","No","More than 1000","No","Yes"
"339","No","26-100","No","Yes"
"340","No","26-100","No","No"
"341","No","26-100","Yes","Yes"
"342","No","More than 1000","No","Yes"
"343","No","More than 1000","No","Yes"
"344","No","1-5","Yes","Yes"
"345","No","26-100","No","Yes"
"346","No","100-500","No","No"
"347","No","More than 1000","No","Yes"
"348","No","More than 1000","No","Yes"
"349","No","More than 1000","No","Yes"
"350","No","6-25","No","No"
"351","No","More than 1000","No","Yes"
"352","No","6-25","No","Yes"
"353","No","More than 1000","No","Yes"
"354","No","6-25","No","Yes"
"355","No","500-1000","No","No"
"356","No","26-100","No","Yes"
"357","No","More than 1000","No","Yes"
"358","No","100-500","Yes","Yes"
"359","Yes","1-5","Yes","Yes"
"360","No","6-25","No","Yes"
"361","Yes","26-100","Yes","Yes"
"362","Yes","100-500","Yes","No"
"363","No","More than 1000","No","No"
"364","No","More than 1000","No","Yes"
"365","No","More than 1000","No","Yes"
"366","No","100-500","No","Yes"
"367","No","100-500","No","Yes"
"368","No","6-25","No","No"
"369","No","More than 1000","No","Yes"
"370","No","More than 1000","No","Yes"
"371","No","More than 1000","No","Yes"
"372","No","26-100","No","Yes"
"373","No","26-100","No","Yes"
"374","No","26-100","Yes","Yes"
"375","No","More than 1000","No","Yes"
"376","No","26-100","Yes","Yes"
"377","No","More than 1000","No","No"
"378","No","More than 1000","No","Yes"
"379","No","500-1000","No","Yes"
"380","No","More than 1000","No","Yes"
"381","No","26-100","Yes","Yes"
"382","No","26-100","Yes","Yes"
"383","No","6-25","No","Yes"
"384","No","More than 1000","Yes","Yes"
"385","No","500-1000","No","Yes"
"386","Yes","1-5","Yes","Yes"
"387","No","6-25","No","Yes"
"388","No","More than 1000","No","Yes"
"389","No","More than 1000","No","No"
"390","No","More than 1000","No","Yes"
"391","No","26-100","Yes","Yes"
"392","No","500-1000","No","No"
"393","No","More than 1000","No","No"
"394","No","26-100","No","Yes"
"395","No","6-25","No","Yes"
"396","No","100-500","No","Yes"
"397","No","100-500","No","Yes"
"398","No","6-25","No","Yes"
"399","No","26-100","No","Yes"
"400","No","More than 1000","No","Yes"
"401","No","100-500","No","Yes"
"402","No","26-100","No","Yes"
"403","No","6-25","No","Yes"
"404","No","26-100","Yes","Yes"
"405","No","More than 1000","Yes","Yes"
"406","Yes","6-25","Yes","Yes"
"407","No","500-1000","No","Yes"
"408","No","More than 1000","Yes","Yes"
"409","No","More than 1000","No","No"
"410","No","More than 1000","No","Yes"
"411","No","More than 1000","No","Yes"
"412","No","100-500","Yes","Yes"
"413","No","6-25","No","Yes"
"414","No","100-500","No","Yes"
"415","No","6-25","No","Yes"
"416","No","6-25","No","Yes"
"417","No","1-5","Yes","Yes"
"418","No","1-5","Yes","Yes"
"419","No","26-100","Yes","Yes"
"420","No","6-25","Yes","Yes"
"421","No","6-25","No","Yes"
"422","No","More than 1000","No","No"
"423","No","6-25","No","No"
"424","No","100-500","No","Yes"
"425","No","More than 1000","No","No"
"426","No","More than 1000","No","No"
"427","No","More than 1000","No","Yes"
"428","Yes","100-500","Yes","Yes"
"429","No","6-25","No","Yes"
"430","Yes","1-5","Yes","Yes"
"431","No","26-100","No","Yes"
"432","No","26-100","No","Yes"
"433","No","6-25","No","Yes"
"434","No","More than 1000","No","Yes"
"435","No","100-500","Yes","Yes"
"436","No","26-100","No","Yes"
"437","No","1-5","Yes","Yes"
"438","No","6-25","No","Yes"
"439","No","More than 1000","Yes","Yes"
"440","No","More than 1000","No","Yes"
"441","No","100-500","Yes","Yes"
"442","No","6-25","No","Yes"
"443","No","More than 1000","No","Yes"
"444","No","More than 1000","No","Yes"
"445","No","100-500","No","Yes"
"446","No","26-100","No","Yes"
"447","No","More than 1000","No","No"
"448","Yes","6-25","Yes","Yes"
"449","No","More than 1000","No","Yes"
"450","No","More than 1000","No","Yes"
"451","No","6-25","No","Yes"
"452","No","100-500","No","Yes"
"453","No","More than 1000","No","Yes"
"454","No","6-25","No","Yes"
"455","No","100-500","No","Yes"
"456","No","6-25","No","Yes"
"457","No","500-1000","No","Yes"
"458","No","26-100","No","Yes"
"459","No","500-1000","No","Yes"
"460","No","6-25","Yes","Yes"
"461","No","26-100","No","Yes"
"462","No","6-25","Yes","Yes"
"463","Yes","26-100","Yes","Yes"
"464","No","More than 1000","No","Yes"
"465","No","More than 1000","No","Yes"
"466","No","6-25","No","Yes"
"467","No","100-500","Yes","Yes"
"468","No","100-500","Yes","Yes"
"469","No","More than 1000","No","Yes"
"470","No","6-25","No","Yes"
"471","No","More than 1000","No","Yes"
"472","No","6-25","Yes","Yes"
"473","No","More than 1000","No","Yes"
"474","No","6-25","No","Yes"
"475","Yes","26-100","Yes","Yes"
"476","No","500-1000","Yes","No"
"477","No","100-500","No","Yes"
"478","No","26-100","No","No"
"479","No","More than 1000","No","Yes"
"480","No","1-5","Yes","Yes"
"481","No","6-25","No","Yes"
"482","No","6-25","No","Yes"
"483","No","26-100","No","No"
"484","No","26-100","No","Yes"
"485","Yes","1-5","Yes","Yes"
"486","No","6-25","No","Yes"
"487","No","6-25","No","No"
"488","No","More than 1000","No","Yes"
"489","No","100-500","No","No"
"490","No","26-100","No","Yes"
"491","Yes","1-5","Yes","Yes"
"492","No","26-100","No","Yes"
"493","No","More than 1000","No","Yes"
"494","No","More than 1000","No","No"
"495","Yes","1-5","Yes","Yes"
"496","No","More than 1000","Yes","No"
"497","No","6-25","No","Yes"
"498","No","26-100","No","Yes"
"499","Yes","More than 1000","No","Yes"
"500","No","26-100","No","Yes"
"501","No","More than 1000","No","No"
"502","No","100-500","No","Yes"
"503","No","More than 1000","No","Yes"
"504","No","100-500","No","No"
"505","No","6-25","Yes","Yes"
"506","No","More than 1000","No","Yes"
"507","No","More than 1000","No","Yes"
"508","No","500-1000","Yes","Yes"
"509","No","6-25","No","Yes"
"510","No","More than 1000","No","Yes"
"511","No","26-100","No","Yes"
"512","No","More than 1000","No","Yes"
"513","No","6-25","Yes","Yes"
"514","No","500-1000","Yes","Yes"
"515","No","More than 1000","No","No"
"516","No","6-25","No","Yes"
"517","No","26-100","No","Yes"
"518","No","More than 1000","No","Yes"
"519","No","More than 1000","No","No"
"520","No","More than 1000","No","No"
"521","No","26-100","Yes","Yes"
"522","Yes","1-5","Yes","Yes"
"523","No","500-1000","Yes","Yes"
"524","Yes","1-5","No","Yes"
"525","No","26-100","Yes","Yes"
"526","No","6-25","No","Yes"
"527","Yes","100-500","Yes","Yes"
"528","No","6-25","No","Yes"
"529","No","100-500","No","Yes"
"530","Yes","1-5","Yes","Yes"
"531","No","6-25","No","Yes"
"532","No","26-100","No","Yes"
"533","No","6-25","No","Yes"
"534","No","26-100","Yes","Yes"
"535","No","More than 1000","No","Yes"
"536","No","6-25","No","Yes"
"537","No","500-1000","No","Yes"
"538","No","100-500","No","No"
"539","No","100-500","No","Yes"
"540","No","6-25","No","Yes"
"541","No","100-500","Yes","Yes"
"542","No","100-500","No","Yes"
"543","No","6-25","No","Yes"
"544","No","26-100","Yes","Yes"
"545","No","More than 1000","No","Yes"
"546","No","More than 1000","No","Yes"
"547","No","26-100","No","Yes"
"548","No","500-1000","No","No"
"549","No","6-25","No","Yes"
"550","No","1-5","No","Yes"
"551","No","26-100","No","Yes"
"552","No","100-500","Yes","Yes"
"553","No","More than 1000","No","No"
"554","No","More than 1000","No","Yes"
"555","No","26-100","No","Yes"
"556","No","6-25","Yes","Yes"
"557","No","More than 1000","No","Yes"
"558","Yes","6-25","Yes","No"
"559","No","100-500","Yes","Yes"
"560","No","More than 1000","No","Yes"
"561","No","26-100","No","Yes"
"562","No","26-100","No","Yes"
"563","No","More than 1000","No","Yes"
"564","No","500-1000","No","Yes"
"565","No","More than 1000","No","Yes"
"566","No","More than 1000","No","Yes"
"567","No","100-500","No","Yes"
"568","No","1-5","No","Yes"
"569","No","More than 1000","No","Yes"
"570","No","500-1000","No","Yes"
"571","No","26-100","No","Yes"
"572","No","26-100","Yes","Yes"
"573","No","26-100","No","Yes"
"574","No","26-100","No","Yes"
"575","No","6-25","Yes","Yes"
"576","Yes","26-100","Yes","Yes"
"577","No","26-100","Yes","No"
"578","No","More than 1000","No","Yes"
"579","No","100-500","Yes","Yes"
"580","No","More than 1000","No","No"
"581","No","6-25","No","Yes"
"582","No","1-5","Yes","Yes"
"583","No","26-100","No","No"
"584","No","100-500","Yes","Yes"
"585","No","26-100","No","Yes"
"586","No","6-25","No","Yes"
"587","No","6-25","No","Yes"
"588","No","26-100","Yes","Yes"
"589","No","26-100","No","Yes"
"590","No","1-5","No","Yes"
"591","No","More than 1000","No","Yes"
"592","No","100-500","No","Yes"
"593","No","100-500","No","Yes"
"594","No","100-500","No","Yes"
"595","No","26-100","Yes","Yes"
"596","No","500-1000","Yes","Yes"
"597","No","100-500","No","Yes"
"598","No","100-500","No","Yes"
"599","Yes","6-25","Yes","Yes"
"600","No","100-500","No","No"
"601","Yes","1-5","Yes","No"
"602","No","More than 1000","No","Yes"
"603","No","100-500","No","Yes"
"604","No","1-5","Yes","Yes"
"605","No","26-100","No","No"
"606","No","26-100","No","Yes"
"607","No","1-5","Yes","Yes"
"608","No","6-25","No","Yes"
"609","Yes","6-25","Yes","No"
"610","No","More than 1000","No","No"
"611","No","26-100","No","Yes"
"612","No","More than 1000","No","Yes"
"613","Yes","6-25","Yes","Yes"
"614","No","26-100","No","Yes"
"615","No","100-500","Yes","No"
"616","No","26-100","Yes","Yes"
"617","No","100-500","No","Yes"
"618","No","100-500","No","Yes"
"619","Yes","1-5","No","Yes"
"620","No","26-100","Yes","Yes"
"621","No","More than 1000","No","Yes"
"622","No","100-500","No","Yes"
"623","No","500-1000","No","Yes"
"624","No","100-500","No","No"
"625","Yes","6-25","No","Yes"
"626","No","26-100","Yes","Yes"
"627","No","26-100","Yes","Yes"
"628","No","100-500","No","Yes"
"629","No","6-25","No","Yes"
"630","No","6-25","Yes","Yes"
"631","No","100-500","Yes","Yes"
"632","No","100-500","No","No"
"633","No","26-100","No","Yes"
"634","Yes","6-25","No","Yes"
"635","No","26-100","No","Yes"
"636","Yes","1-5","Yes","Yes"
"637","Yes","1-5","Yes","Yes"
"638","No","26-100","No","Yes"
"639","No","26-100","No","Yes"
"640","No","More than 1000","No","No"
"641","No","26-100","No","Yes"
"642","No","100-500","No","No"
"643","Yes","6-25","No","Yes"
"644","No","26-100","No","Yes"
"645","No","26-100","No","Yes"
"646","No","100-500","No","No"
"647","No","6-25","No","Yes"
"648","No","More than 1000","Yes","No"
"649","No","100-500","No","Yes"
"650","Yes","1-5","Yes","Yes"
"651","No","500-1000","No","No"
"652","No","500-1000","No","No"
"653","No","6-25","No","Yes"
"654","No","1-5","No","Yes"
"655","Yes","1-5","Yes","Yes"
"656","No","More than 1000","No","Yes"
"657","No","6-25","No","Yes"
"658","No","More than 1000","No","Yes"
"659","No","1-5","No","Yes"
"660","No","More than 1000","No","Yes"
"661","Yes","1-5","Yes","Yes"
"662","No","More than 1000","No","No"
"663","No","26-100","Yes","Yes"
"664","Yes","1-5","Yes","Yes"
"665","No","More than 1000","No","Yes"
"666","No","26-100","No","Yes"
"667","No","100-500","No","Yes"
"668","No","26-100","No","Yes"
"669","No","6-25","No","Yes"
"670","No","100-500","Yes","Yes"
"671","No","100-500","No","Yes"
"672","No","26-100","No","Yes"
"673","No","26-100","Yes","No"
"674","No","26-100","No","Yes"
"675","No","6-25","No","Yes"
"676","Yes","1-5","No","Yes"
"677","No","1-5","Yes","Yes"
"678","No","26-100","Yes","Yes"
"679","No","More than 1000","No","No"
"680","No","26-100","No","No"
"681","No","More than 1000","Yes","No"
"682","No","6-25","No","Yes"
"683","No","More than 1000","No","Yes"
"684","No","More than 1000","No","Yes"
"685","No","100-500","No","Yes"
"686","No","26-100","Yes","Yes"
"687","No","6-25","Yes","Yes"
"688","No","6-25","No","Yes"
"689","No","1-5","Yes","Yes"
"690","No","26-100","No","Yes"
"691","No","More than 1000","No","Yes"
"692","No","6-25","No","Yes"
"693","No","26-100","No","No"
"694","No","100-500","No","Yes"
"695","No","More than 1000","Yes","No"
"696","No","500-1000","No","Yes"
"697","No","6-25","No","Yes"
"698","No","100-500","No","No"
"699","Yes","1-5","Yes","Yes"
"700","No","100-500","No","Yes"
"701","No","26-100","No","No"
"702","No","26-100","No","No"
"703","No","100-500","No","Yes"
"704","No","26-100","No","Yes"
"705","Yes","1-5","Yes","Yes"
"706","No","26-100","Yes","Yes"
"707","No","26-100","No","Yes"
"708","No","6-25","No","Yes"
"709","No","6-25","No","Yes"
"710","No","100-500","No","Yes"
"711","No","6-25","No","Yes"
"712","Yes","1-5","Yes","Yes"
"713","No","500-1000","No","Yes"
"714","Yes","6-25","Yes","Yes"
"715","No","6-25","No","Yes"
"716","No","26-100","No","Yes"
"717","No","6-25","No","Yes"
"718","No","More than 1000","No","No"
"719","No","1-5","Yes","Yes"
"720","No","6-25","Yes","Yes"
"721","No","1-5","No","No"
"722","No","100-500","Yes","Yes"
"723","No","6-25","Yes","Yes"
"724","No","26-100","No","Yes"
"725","No","More than 1000","No","No"
"726","Yes","1-5","Yes","Yes"
"727","No","6-25","No","Yes"
"728","No","26-100","No","Yes"
"729","No","6-25","Yes","Yes"
"730","No","26-100","No","No"
"731","Yes","100-500","No","No"
"732","No","More than 1000","No","No"
"733","No","26-100","No","Yes"
"734","No","6-25","No","Yes"
"735","No","More than 1000","Yes","No"
"736","No","26-100","No","Yes"
"737","No","6-25","No","Yes"
"738","No","100-500","No","Yes"
"739","No","26-100","No","Yes"
"740","No","100-500","Yes","Yes"
"741","Yes","26-100","Yes","Yes"
"742","No","6-25","No","Yes"
"743","No","6-25","No","Yes"
"744","No","6-25","No","Yes"
"745","No","26-100","No","Yes"
"746","No","26-100","No","Yes"
"747","No","More than 1000","Yes","Yes"
"748","No","100-500","No","Yes"
"749","Yes","6-25","No","Yes"
"750","No","More than 1000","No","Yes"
"751","No","26-100","Yes","No"
"752","No","26-100","No","No"
"753","No","More than 1000","No","Yes"
"754","No","26-100","No","Yes"
"755","No","More than 1000","No","No"
"756","Yes","1-5","Yes","Yes"
"757","No","26-100","No","No"
"758","No","1-5","No","Yes"
"759","No","1-5","No","Yes"
"760","No","100-500","No","Yes"
"761","Yes","6-25","No","Yes"
"762","Yes","1-5","No","Yes"
"763","No","26-100","No","Yes"
"764","No","6-25","Yes","Yes"
"765","No","26-100","No","Yes"
"766","No","500-1000","No","No"
"767","Yes","1-5","Yes","Yes"
"768","No","More than 1000","No","No"
"769","No","More than 1000","No","No"
"770","No","6-25","No","Yes"
"771","No","100-500","No","No"
"772","No","6-25","Yes","Yes"
"773","No","More than 1000","No","No"
"774","No","More than 1000","No","Yes"
"775","No","6-25","No","Yes"
"776","No","26-100","No","Yes"
"777","No","6-25","Yes","Yes"
"778","No","More than 1000","No","Yes"
"779","Yes","1-5","No","Yes"
"780","No","6-25","No","Yes"
"781","No","More than 1000","No","No"
"782","Yes","1-5","No","Yes"
"783","No","26-100","No","Yes"
"784","No","100-500","Yes","No"
"785","No","More than 1000","No","Yes"
"786","No","100-500","No","Yes"
"787","No","More than 1000","No","Yes"
"788","No","6-25","Yes","Yes"
"789","No","100-500","No","No"
"790","No","More than 1000","No","Yes"
"791","No","26-100","No","Yes"
"792","No","100-500","No","Yes"
"793","No","26-100","No","Yes"
"794","No","26-100","No","Yes"
"795","No","100-500","Yes","Yes"
"796","No","100-500","No","No"
"797","No","6-25","No","Yes"
"798","No","26-100","Yes","Yes"
"799","No","More than 1000","No","Yes"
"800","No","26-100","No","Yes"
"801","No","26-100","No","Yes"
"802","No","100-500","No","No"
"803","No","6-25","No","Yes"
"804","No","26-100","Yes","Yes"
"805","No","More than 1000","No","Yes"
"806","No","6-25","No","Yes"
"807","No","100-500","No","Yes"
"808","No","1-5","No","No"
"809","No","6-25","Yes","Yes"
"810","Yes","1-5","Yes","Yes"
"811","No","26-100","No","Yes"
"812","No","500-1000","No","Yes"
"813","Yes","1-5","Yes","Yes"
"814","Yes","6-25","Yes","Yes"
"815","Yes","1-5","No","Yes"
"816","No","100-500","No","No"
"817","Yes","1-5","No","Yes"
"818","No","More than 1000","Yes","Yes"
"819","No","More than 1000","Yes","Yes"
"820","No","More than 1000","No","Yes"
"821","No","26-100","No","Yes"
"822","No","26-100","No","Yes"
